"constituency_name","constituency_number","eligible_first_vote","valid_first_vote","percent_eligible_first_vote","margin","cum_percent_margin"
"Ulm",291,222673,175444,0.260869565217391,39393,0.147157190635452
"Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis",190,222558,160840,0.264214046822742,21326,0.424749163879599
"Kassel",168,222451,165278,0.267558528428094,14334,0.555183946488294
"Freiburg",281,222308,179374,0.270903010033445,4141,0.882943143812709
"Hamburg-Bergedorf – Harburg",23,222031,153768,0.274247491638796,10172,0.688963210702341
"Erfurt – Weimar – Weimarer Land II",193,221922,165925,0.277591973244147,14357,0.551839464882943
"Aalen – Heidenheim",270,221853,167586,0.280936454849498,42588,0.107023411371237
"Bremen II – Bremerhaven",55,221655,145606,0.284280936454849,13100,0.581939799331104
"Berlin-Steglitz-Zehlendorf",79,221210,178373,0.287625418060201,19284,0.45819397993311
"Erzgebirgskreis I",164,220917,163552,0.290969899665552,7251,0.795986622073579
"Börde – Jerichower Land",67,220786,145948,0.294314381270903,25494,0.341137123745819
"Düsseldorf I",106,220764,171387,0.297658862876254,27370,0.301003344481605
"Leipzig I",152,220654,159781,0.301003344481605,11217,0.655518394648829
"Neustadt – Speyer",208,220550,173721,0.304347826086957,25472,0.344481605351171
"Göttingen",53,220420,169108,0.307692307692308,2782,0.929765886287625
"Rheingau-Taunus – Limburg",178,220342,171338,0.311036789297659,28128,0.287625418060201
"Offenbach",185,220194,160983,0.31438127090301,18459,0.471571906354515
"Cloppenburg – Vechta",32,220042,162119,0.317725752508361,60548,0.0234113712374582
"Pforzheim",279,219577,165973,0.321070234113712,28865,0.277591973244147
"Gifhorn – Peine",45,218556,167373,0.324414715719064,2949,0.919732441471572
"Hildesheim",48,218349,167861,0.327759197324415,1991,0.953177257525084
"Emmendingen – Lahr",283,218287,166356,0.331103678929766,23004,0.397993311036789
"Ludwigsburg",265,218074,173535,0.334448160535117,35459,0.193979933110368
"Heidelberg",274,217934,177570,0.337792642140468,11800,0.625418060200669
"Gießen",173,217806,164158,0.341137123745819,11394,0.648829431438127
"Südpfalz",211,217633,170011,0.344481605351171,24364,0.364548494983278
"Rheinisch-Bergischer Kreis",100,217425,172240,0.347826086956522,26850,0.307692307692308
"Hamburg-Nord",21,217226,177363,0.351170568561873,4746,0.8561872909699
"Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I",12,216800,155102,0.354515050167224,15466,0.518394648829431
"München-Süd",219,216725,169397,0.357859531772575,16021,0.498327759197324
"Eichsfeld – Nordhausen – Kyffhäuserkreis",189,216673,156075,0.361204013377926,25916,0.337792642140468
"Schwandorf",234,216418,159086,0.364548494983278,38631,0.160535117056856
"Bad Kissingen",248,216030,169407,0.367892976588629,54220,0.0367892976588629
"Rhein-Sieg-Kreis II",98,216020,172898,0.37123745819398,41195,0.127090301003344
"Amberg",232,215876,167850,0.374581939799331,54495,0.0301003344481605
"Leipzig-Land",154,215616,159004,0.377926421404682,8589,0.739130434782609
"Harz",68,215607,141128,0.381270903010033,24282,0.37123745819398
"Ludwigshafen/Frankenthal",207,215595,159181,0.384615384615385,428,1
"Neuss I",108,214779,158292,0.387959866220736,24344,0.367892976588629
"Halle",72,214668,150275,0.391304347826087,8637,0.735785953177257
"Celle – Uelzen",44,214612,160796,0.394648829431438,20466,0.448160535117057
"Bautzen I",156,213990,158876,0.397993311036789,4191,0.879598662207358
"Starnberg – Landsberg am Lech",224,213628,175679,0.40133779264214,44640,0.0903010033444816
"Worms",206,213627,167176,0.404682274247492,24116,0.377926421404682
"Görlitz",157,213021,153643,0.408026755852843,1578,0.973244147157191
"Siegen-Wittgenstein",148,212912,160701,0.411371237458194,15924,0.501672240802676
"Leverkusen – Köln IV",101,212212,153520,0.414715719063545,12101,0.608695652173913
"Mecklenburgische Seenplatte II – Landkreis Rostock III",17,212099,142376,0.418060200668896,27339,0.304347826086957
"Dortmund I",142,211316,154526,0.421404682274247,15762,0.51505016722408
"Höxter – Lippe II",136,211026,157854,0.424749163879599,27699,0.294314381270903
"Odenwald – Tauber",276,210876,161223,0.42809364548495,44682,0.0836120401337793
"Augsburg-Stadt",252,210528,151642,0.431438127090301,23484,0.387959866220736
"Montabaur",204,210114,158697,0.434782608695652,21415,0.421404682274247
"Fulda",174,209966,159299,0.438127090301003,39796,0.140468227424749
"Karlsruhe-Land",272,209741,166740,0.441471571906354,34510,0.197324414715719
"Warendorf",130,209604,161586,0.444816053511706,29923,0.270903010033445
"Karlsruhe-Stadt",271,208868,160506,0.448160535117057,7897,0.77257525083612
"Lahn-Dill",172,208744,152554,0.451505016722408,13042,0.585284280936455
"Traunstein",225,208466,159225,0.454849498327759,54397,0.0334448160535117
"Oberbergischer Kreis",99,208418,154631,0.45819397993311,26298,0.317725752508361
"Wuppertal I",102,208129,148006,0.461538461538462,2843,0.923076923076923
"Zwickau",165,207606,143380,0.464882943143813,11466,0.642140468227425
"Saarlouis",297,207501,158015,0.468227424749164,9430,0.719063545150502
"Hagen – Ennepe-Ruhr-Kreis I",138,207384,148299,0.471571906354515,13258,0.57190635451505
"Wesel I",113,207178,158681,0.474916387959866,9764,0.705685618729097
"Mansfeld",74,207103,137657,0.478260869565217,9861,0.702341137123746
"Nürtingen",262,207044,166287,0.481605351170569,33911,0.20066889632107
"Olpe – Märkischer Kreis I",149,206716,150760,0.48494983277592,32459,0.214046822742475
"Berlin-Mitte",75,206706,149071,0.488294314381271,4544,0.862876254180602
"Rastatt",273,206484,154890,0.491638795986622,38773,0.157190635451505
"Bochum I",140,206460,155017,0.494983277591973,13882,0.561872909698997
"Salzgitter – Wolfenbüttel",49,206133,155479,0.498327759197324,21277,0.42809364548495
"Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I",13,205876,144838,0.501672240802676,8748,0.732441471571906
"Offenburg",284,205551,153606,0.505016722408027,47403,0.0702341137123746
"Berlin-Lichtenberg",86,205300,147072,0.508361204013378,22344,0.404682274247492
"Mettmann I",104,205244,158550,0.511705685618729,29943,0.267558528428094
"Konstanz",287,205135,157109,0.51505016722408,43959,0.096989966555184
"Berlin-Treptow-Köpenick",84,205106,155192,0.518394648829431,32497,0.210702341137124
"Oberhausen – Wesel III",117,204816,148121,0.521739130434783,13910,0.558528428093645
"Kiel",5,204650,151679,0.525083612040134,431,0.996655518394649
"Minden-Lübbecke I",134,204203,149530,0.528428093645485,2811,0.926421404682274
"Köln III",95,203647,149098,0.531772575250836,7042,0.802675585284281
"Dortmund II",143,203300,141889,0.535117056856187,15105,0.538461538461538
"Jena – Sömmerda – Weimarer Land I",191,203210,152895,0.538461538461538,12004,0.615384615384615
"Goslar – Northeim – Osterode",52,202963,149372,0.54180602006689,7438,0.785953177257525
"Bottrop – Recklinghausen III",125,202793,149859,0.545150501672241,4794,0.852842809364548
"Hochsauerlandkreis",147,202768,152615,0.548494983277592,32138,0.224080267558528
"Berlin-Neukölln",82,202618,141105,0.551839464882943,3184,0.91304347826087
"Sächsische Schweiz-Osterzgebirge",158,202580,153899,0.555183946488294,13200,0.575250836120401
"Steinfurt I – Borken I",124,202192,153182,0.558528428093645,38995,0.153846153846154
"Mittelsachsen",161,201629,148674,0.561872909698997,1403,0.976588628762542
"Krefeld I – Neuss II",110,201450,153673,0.565217391304348,26086,0.324414715719064
"Meißen",155,201310,150932,0.568561872909699,8561,0.74247491638796
"Rendsburg-Eckernförde",4,200831,156102,0.57190635451505,21555,0.418060200668896
"Berlin-Marzahn-Hellersdorf",85,200704,136785,0.575250836120401,16302,0.494983277591973
