"partei","mandates_state","sum_zweitstimmen","divisor","zweitstimmen","mandates"
"CDU",17,1294448,68404,372258,5
"SPD",17,1294448,68404,171032,3
"LINKE",17,1294448,68404,218212,3
"GRÜNE",17,1294448,68404,53340,1
"CSU",17,1294448,68404,0,0
"FDP",17,1294448,68404,101129,1
"AFD",17,1294448,68404,294069,4
