"partei","mandates_state","sum_zweitstimmen","divisor","zweitstimmen","mandates"
"CDU",13,927510,68956.9230769231,307263,4
"SPD",13,927510,68956.9230769231,139689,2
"LINKE",13,927510,68956.9230769231,165368,2
"GRÜNE",13,927510,68956.9230769231,39514,1
"CSU",13,927510,68956.9230769231,0,0
"FDP",13,927510,68956.9230769231,57895,1
"AFD",13,927510,68956.9230769231,172409,3
