"partei","mandates_state","sum_zweitstimmen","divisor","zweitstimmen","mandates"
"CDU",22,1715641,77983.6818181818,583135,7
"SPD",22,1715641,77983.6818181818,399505,5
"LINKE",22,1715641,77983.6818181818,124678,2
"GRÜNE",22,1715641,77983.6818181818,205471,3
"CSU",22,1715641,77983.6818181818,0,0
"FDP",22,1715641,77983.6818181818,216844,3
"AFD",22,1715641,77983.6818181818,140362,2
