"partei","mandates_state","sum_zweitstimmen","divisor","zweitstimmen","mandates"
"CDU",5,332323,66464.6,83409,1
"SPD",5,332323,66464.6,88944,1
"LINKE",5,332323,66464.6,44629,1
"GRÜNE",5,332323,66464.6,36733,1
"CSU",5,332323,66464.6,0,0
"FDP",5,332323,66464.6,31056,0
"AFD",5,332323,66464.6,33244,1
