"partei","mandates_state","sum_zweitstimmen","divisor","zweitstimmen","mandates"
"CDU",24,1869042,74276.75,424321,6
"SPD",24,1869042,74276.75,334253,5
"LINKE",24,1869042,74276.75,351170,5
"GRÜNE",24,1869042,74276.75,234947,3
"CSU",24,1869042,74276.75,0,0
"FDP",24,1869042,74276.75,167046,2
"AFD",24,1869042,74276.75,225170,3
