"partei","mandates_state","sum_zweitstimmen","divisor","zweitstimmen","mandates"
"CDU",128,9853377,74139.5078125,3214013,43
"SPD",128,9853377,74139.5078125,2557876,35
"LINKE",128,9853377,74139.5078125,736904,10
"GRÜNE",128,9853377,74139.5078125,744970,10
"CSU",128,9853377,74139.5078125,0,0
"FDP",128,9853377,74139.5078125,1293052,17
"AFD",128,9853377,74139.5078125,928425,13
