"partei","mandates_state","sum_zweitstimmen","divisor","zweitstimmen","mandates"
"CDU",32,2479404,74601.375,665751,9
"SPD",32,2479404,74601.375,261105,4
"LINKE",32,2479404,74601.375,398627,5
"GRÜNE",32,2479404,74601.375,113608,2
"CSU",32,2479404,74601.375,0,0
"FDP",32,2479404,74601.375,203662,3
"AFD",32,2479404,74601.375,669940,9
