"partei","mandates_state","sum_zweitstimmen","divisor","zweitstimmen","mandates"
"CDU",12,978118,79379.8333333333,266312,3
"SPD",12,978118,79379.8333333333,229862,3
"LINKE",12,978118,79379.8333333333,119076,2
"GRÜNE",12,978118,79379.8333333333,136371,2
"CSU",12,978118,79379.8333333333,0,0
"FDP",12,978118,79379.8333333333,105610,1
"AFD",12,978118,79379.8333333333,76511,1
