"partei","mandates_state","sum_zweitstimmen","divisor","zweitstimmen","mandates"
"CDU",17,1244980,69824.1176470588,377411,5
"SPD",17,1244980,69824.1176470588,188980,3
"LINKE",17,1244980,69824.1176470588,220858,3
"GRÜNE",17,1244980,69824.1176470588,46243,1
"CSU",17,1244980,69824.1176470588,0,0
"FDP",17,1244980,69824.1176470588,96555,1
"AFD",17,1244980,69824.1176470588,244401,4
