"partei","mandates_state","sum_zweitstimmen","divisor","zweitstimmen","mandates"
"CDU",43,3348900,75081.3953488372,1033200,14
"SPD",43,3348900,75081.3953488372,788427,11
"LINKE",43,3348900,75081.3953488372,271158,4
"GRÜNE",43,3348900,75081.3953488372,323736,4
"CSU",43,3348900,75081.3953488372,0,0
"FDP",43,3348900,75081.3953488372,386742,5
"AFD",43,3348900,75081.3953488372,398712,5
