"partei","mandates_state","sum_zweitstimmen","divisor","zweitstimmen","mandates"
"CDU",76,5992968,76874.8421052632,2061687,27
"SPD",76,5992968,76874.8421052632,982370,13
"LINKE",76,5992968,76874.8421052632,380727,5
"GRÜNE",76,5992968,76874.8421052632,807205,11
"CSU",76,5992968,76874.8421052632,0,0
"FDP",76,5992968,76874.8421052632,762008,10
"AFD",76,5992968,76874.8421052632,730499,10
