"partei","mandates_state","sum_zweitstimmen","divisor","zweitstimmen","mandates"
"CDU",20,1490831,72331.55,397839,6
"SPD",20,1490831,72331.55,261822,4
"LINKE",20,1490831,72331.55,255721,4
"GRÜNE",20,1490831,72331.55,74971,1
"CSU",20,1490831,72331.55,0,0
"FDP",20,1490831,72331.55,105485,1
"AFD",20,1490831,72331.55,301103,4
